Estado,Prevalencia consumo de cigarro en 30 dias
CDMX,28
Puebla,27
Edo.Mexico,27
Guanajuato,23
Durango,24
Morelos,22
Zacatecas,22
San Luis Potosi,20
Sonora,20
Guerrero,20
Hidalgo,19
Yucatan,18
Sinaloa,18
Tlaxcala,18
Nuevo Leon,17
Veracruz,17
Chihuahua,17
Jalisco,17
Chiapas,17
Michoacan,17
Nayarit,17
Quintana Roo,16
Tabasco ,16
Tamaulipas,16
Baja California,16
Aguascalientes,15
Oaxaca,15
Baja California Norte,14
Campeche,13
Colima,12
Cualican,10
